config,accuracy,log_loss
full,0.6558544303797469,0.6105068975684035
without elo,0.6509098101265823,0.6202712471547099
only elo,0.6471518987341772,0.6175253098533348
without ranking,0.6542721518987342,0.6110705427939681
only ranking,0.6431962025316456,0.6308556304296082
without form,0.6552610759493671,0.6114170742389489
only form,0.6180775316455697,0.6491727328618223
without h2h,0.6534810126582279,0.6112380189453207
only h2h,0.5450949367088608,0.6823266610637471
without fatigue,0.6548655063291139,0.61063933187169
only fatigue,0.522745253164557,0.6909974346115535
without demographics,0.6548655063291139,0.6138756806056591
only demographics,0.6303401898734177,0.6452710193497423
