pair,mean_diff_ll,t_corrected,p_value,k,significant_5pct
logreg - random_forest,-0.0018603868422100156,-2.285799990325495,0.048104002912178645,10,True
logreg - grad_boosting,-0.002592850885520115,-2.329901745400598,0.04475432625056186,10,True
logreg - neural_net,-1.9151547438589487e-06,-0.0016703804362010618,0.9987036688291275,10,False
logreg - elo,-0.015009422926256445,-7.714184161096697,2.9565703117517828e-05,10,True
logreg - market_avg,0.024135852779454625,9.641256664124153,4.84581577508969e-06,10,True
random_forest - grad_boosting,-0.0007324640433100993,-1.1156744650775312,0.2934632456850259,10,False
random_forest - neural_net,0.0018584716874661567,1.3091753110954871,0.22291120557133803,10,False
random_forest - elo,-0.013149036084046429,-8.766145575007135,1.0584460100826476e-05,10,True
random_forest - market_avg,0.02599623962166464,10.170869994737838,3.1070371440122813e-06,10,True
grad_boosting - neural_net,0.002590935730776256,1.9586095669006438,0.08182705922027789,10,False
grad_boosting - elo,-0.012416572040736328,-6.2538818672322405,0.00014894249003227777,10,True
grad_boosting - market_avg,0.02672870366497474,11.755684604718345,9.172688442138366e-07,10,True
neural_net - elo,-0.015007507771512585,-5.327685318000842,0.00047613473606333834,10,True
neural_net - market_avg,0.024137767934198483,14.075810819012446,1.9573109666382038e-07,10,True
elo - market_avg,0.039145275705711066,10.350903565080031,2.683373215628393e-06,10,True
